sick_cd_3,sick_cd_4,sick_desc_kor,sick_desc_eng,gender,age_limit_u,age_limit_l
P83,P835,선천성 음낭수종,Congenital hydrocele,,,
P83,P836,신생아의 배꼽폴립,Umbilical polyp of newborn,,,
P83,P838,태아 및 신생아에 특이한 피부의 기타 명시된 병태,Other specified conditions of integument specific to fetus and newborn,,,
P83,P839,태아 및 신생아에 특이한 피부의 상세불명 병태,"Condition of integument specific to fetus and newborn, unspecified",,,
P90,,신생아의 경련,Convulsions of newborn,,,
P91,,신생아 대뇌상태의 기타 장애,Other disturbances of cerebral status of newborn,,,
P91,P910,신생아뇌허혈,Neonatal cerebral ischaemia,,,
P91,P911,신생아의 후천성 뇌실주위낭,Acquired periventricular cysts of newborn,,,
P91,P912,신생아대뇌백질연화,Neonatal cerebral leukomalacia,,,
P91,P913,신생아대뇌과민성,Neonatal cerebral irritability,,,
P91,P914,신생아대뇌억압,Neonatal cerebral depression,,,
P91,P915,신생아혼수,Neonatal coma,,,
P91,P918,신생아 대뇌상태의 기타 명시된 장애,Other specified disturbances of cerebral status of newborn,,,
P91,P919,신생아 대뇌상태의 상세불명 장애,"Disturbance of cerebral status of newborn, unspecified",,,
P92,,신생아의 수유문제,Feeding problems of newborn,,,
P92,P920,신생아의 구토,Vomiting in newborn,,,
P92,P921,신생아의 역류 및 반추,Regurgitation and rumination in newborn,,,
P92,P922,신생아의 느린수유,Slow feeding of newborn,,,
P92,P923,신생아의 수유부족,Underfeeding of newborn,,,
P92,P924,신생아의 수유과다,Overfeeding of newborn,,,
P92,P925,신생아 모유수유의 어려움,Neonatal difficulty in feeding at breast,,,
P92,P928,신생아의 기타 수유문제,Other feeding problems of newborn,,,
P92,P929,신생아의 상세불명의 수유문제,"Feeding problem of newborn, unspecified",,,
P93,,태아 및 신생아에게 투여한 약물의 반응 및 중독,Reactions and intoxications due to drugs administered to fetus and newborn,,,
P94,,신생아의 근긴장도의 장애,Disorders of muscle tone of newborn,,,
P94,P940,일과성 신생아중증근무력증,Transient neonatal myasthenia gravis,,,
P94,P941,선천성 근긴장항진,Congenital hypertonia,,,
P94,P942,선천성 근긴장저하,Congenital hypotonia,,,
P94,P948,신생아의 근긴장의 기타 장애,Other disorders of muscle tone of newborn,,,
P94,P949,신생아의 근긴장의 상세불명 장애,"Disorder of muscle tone of newborn, unspecified",,,
P95,,상세불명 원인의 태아사망,Fetal death of unspecified cause,,55,8
P96,,출생전후기에 기원한 기타 병태,Other conditions originating in the perinatal period,,,
P96,P960,선천성 신부전,Congenital renal failure,,,
P96,P961,산모의 탐닉성 약물사용으로 인한 신생아금단증후군,Neonatal withdrawal symptoms from maternal use of drugs of addiction,,,
P96,P962,신생아의 치료적 약물사용으로 인한 금단증상,Withdrawal symptoms from therapeutic use of drugs in newborn,,,
P96,P963,신생아의 넓은 두개봉합,Wide cranial sutures of newborn,,,
P96,P964,태아 및 신생아에 영향을 주는 임신중절,"Termination of pregnancy, affecting fetus and newborn",,,
P96,P965,달리 분류되지 않은 자궁내 처치의 합병증,"Complications of intrauterine procedures, NEC",,,
P96,P968,출생전후기에 기원한 기타 명시된 병태,Other specified conditions originating in the perinatal period,,,
P96,P969,출생전후기에 기원한 상세불명의 병태,"Condition originating in the perinatal period, unspecified",,,
Q00,,무뇌증 및 유사 기형,Anencephaly and similar malformations,,,
Q00,Q000,무뇌증,Anencephaly,,,
Q00,Q001,두개척추파열,Craniorachischisis,,,
Q00,Q002,후두공뇌탈출,Iniencephaly,,,
Q01,,뇌류(腦瘤),Encephalocele,,,
Q01,Q010,전두뇌류,Frontal encephalocele,,,
Q01,Q011,비전두뇌류,Nasofrontal encephalocele,,,
Q01,Q012,후두뇌류,Occipital encephalocele,,,
Q01,Q018,기타 부위의 뇌류,Encephalocele of other sites,,,
Q01,Q019,상세불명의 뇌류,"Encephalocele, unspecified",,,
Q02,,소두증,Microcephaly,,,
Q03,,선천수두증,Congenital hydrocephalus,,,
Q03,Q030,실비우스수도관의 기형,Malformations of aqueduct of Sylvius,,,
Q03,Q031,마겐디 및 루쉬카공의 폐쇄,Atresia of foramina of Magendie and Luschka,,,
Q03,Q038,기타 선천수두증,Other congenital hydrocephalus,,,
Q03,Q039,상세불명의 선천수두증,"Congenital hydrocephalus, unspecified",,,
Q04,,뇌의 기타 선천기형,Other congenital malformations of brain,,,
Q04,Q040,뇌량의 선천기형,Congenital malformation of corpus callosum,,,
Q04,Q041,후뇌결여증,Arhinencephaly,,,
Q04,Q042,전전뇌증(全前腦症),Holoprosencephaly,,,
Q04,Q043,뇌의 기타 축소변형,Other reduction deformities of brain,,,
Q04,Q044,중격-시신경형성이상,Septo-optic dysplasia,,,
Q04,Q045,거대뇌증,Megalencephaly,,,
Q04,Q046,선천성 대뇌낭,Congenital cerebral cysts,,,
Q04,Q048,뇌의 기타 명시된 선천기형,Other specified congenital malformations of brain,,,
Q04,Q049,뇌의 상세불명의 선천기형,"Congenital malformation of brain, unspecified",,,
Q05,,이분척추,Spina bifida,,,
Q05,Q050,수두증을 동반한 이분경추,Cervical spina bifida with hydrocephalus,,,
Q05,Q051,수두증을 동반한 이분흉추,Thoracic spina bifida with hydrocephalus,,,
Q05,Q052,수두증을 동반한 이분요추,Lumbar spina bifida with hydrocephalus,,,
Q05,Q053,수두증을 동반한 이분천추,Sacral spina bifida with hydrocephalus,,,
Q05,Q054,수두증을 동반한 상세불명의 이분척추,Unspecified spina bifida with hydrocephalus,,,
Q05,Q055,수두증이 없는 이분경추,Cervical spina bifida without hydrocephalus,,,
Q05,Q056,수두증이 없는 이분흉추,Thoracic spina bifida without hydrocephalus,,,
Q05,Q057,수두증이 없는 이분요추,Lumbar spina bifida without hydrocephalus,,,
Q05,Q058,수두증이 없는 이분천골,Sacral spina bifida without hydrocephalus,,,
Q05,Q059,상세불명의 이분척추,"Spina bifida, unspecified",,,
Q06,,척수의 기타 선천기형,Other congenital malformations of spinal cord,,,
Q06,Q060,무척수증,Amyelia,,,
Q06,Q061,척수의 형성저하 및 형성이상,Hypoplasia and dysplasia of spinal cord,,,
Q06,Q062,척수이개증,Diastematomyelia,,,
Q06,Q063,기타 선천성 말총기형,Other congenital cauda equina malformations,,,
Q06,Q064,수척수증,Hydromyelia,,,
Q06,Q068,척수의 기타 명시된 선천기형,Other specified congenital malformations of spinal cord,,,
Q06,Q069,척수의 상세불명의 선천기형,"Congenital malformation of spinal cord, unspecified",,,
Q07,,신경계통의 기타 선천기형,Other congenital malformations of nervous system,,,
Q07,Q070,아놀드-키아리증후군,Arnold-Chiari syndrome,,,
Q07,Q078,신경계통의 기타 명시된 선천기형,Other specified congenital malformations of nervous system,,,
Q07,Q079,신경계통의 상세불명의 선천기형,"Congenital malformation of nervous system, unspecified",,,
Q10,,"눈꺼풀, 눈물기관 및 안와의 선천기형","Congenital malformations of eyelid, lacrimal apparatus and orbit",,,
Q10,Q100,선천하수,Congenital ptosis,,,
Q10,Q101,선천성 안검외반,Congenital ectropion,,,
Q10,Q102,선천성 안검내반,Congenital entropion,,,
Q10,Q103,눈꺼풀의 기타 선천기형,Other congenital malformation of eyelid,,,
Q10,Q104,눈물기관의 결여 및 무발생,Absence and agenesis of lacrimal apparatus,,,
Q10,Q105,눈물관의 선천성 협착,Congenital stenosis and stricture of lacrimal duct,,,
Q10,Q106,눈물기관의 기타 선천기형,Other congenital malformations of lacrimal apparatus,,,
Q10,Q107,안와의 선천기형,Congenital malformation of orbit,,,
Q11,,"무안구증, 소안구증 및 대안구증","Anophthalmos, microphthalmos and macrophthalmos",,,
Q11,Q110,낭성 안구,Cystic eyeball,,,
Q11,Q111,기타 무안구증,Other anopthalmos,,,
Q11,Q112,소안구증,Microphthalmos,,,
Q11,Q113,대안구증,Macrophthalmos,,,
Q12,,선천성 수정체기형,Congenital lens malformations,,,
Q12,Q120,선천백내장,Congenital cataract,,,
Q12,Q121,선천성 전위수정체,Congenital displaced lens,,,
Q12,Q122,수정체결손,Coloboma of lens,,,
Q12,Q123,선천무수정체증,Congenital aphakia,,,
Q12,Q124,구형수정체,Spherophakia,,,
Q12,Q128,기타 선천성 수정체기형,Other congenital lens malformations,,,
Q12,Q129,상세불명의 선천성 수정체기형,"Congenital lens malformation, unspecified",,,
Q13,,전안부의 선천기형,Congenital malformations of anterior segment of eye,,,
Q13,Q130,홍채결손,Coloboma of iris,,,
Q13,Q131,홍채의 결여,Absence of iris,,,
Q13,Q132,홍채의 기타 선천기형,Other congenital malformations of iris,,,
Q13,Q133,선천성 각막혼탁,Congenital corneal opacity,,,
Q13,Q134,기타 선천성 각막기형,Other congenital corneal malformations,,,
Q13,Q135,청색공막,Blue sclera,,,
Q13,Q138,전안부의 기타 선천기형,Other congenital malformations of anterior segment of eye,,,
Q13,Q139,전안부의 상세불명의 선천기형,"Congenital malformation of anterior segment of eye, unspecified",,,
Q14,,후안부의 선천기형,Congenital malformations of posterior segment of eye,,,
Q14,Q140,유리체액의 선천기형,Congenital malformation of vitreous humour,,,
Q14,Q141,망막의 선천기형,Congenital malformation of retina,,,
Q14,Q142,시신경유두의 선천기형,Congenital malformation of optic disc,,,
Q14,Q143,맥락막의 선천기형,Congenital malformation of choroid,,,
Q14,Q148,후안부의 기타 선천기형,Other congenital malformations of posterior segment of eye,,,
Q14,Q149,후안부의 상세불명의 선천기형,"Congenital malformation of posterior segment of eye, unspecified",,,
Q15,,눈의 기타 선천기형,Other congenital malformations of eye,,,
Q15,Q150,선천녹내장,Congenital glaucoma,,,
Q15,Q158,눈의 기타 명시된 선천기형,Other specified congenital malformations of eye,,,
Q15,Q159,눈의 상세불명의 선천기형,"Congenital malformation of eye, unspecified",,,
Q16,,청력장애를 유발하는 귀의 선천기형,Congenital malformations of ear causing impairment of hearing,,,
Q16,Q160,귓바퀴의 선천결여,Congenital absence of(ear) auricle,,,
Q16,Q161,"(외)이도의 선천성 결여, 폐쇄, 협착","Congenital absence, atresia and stricture of auditory canal(external)",,,
Q16,Q162,귀인두관의 결여,Absence of eustachian tube,,,
Q16,Q163,이소골의 선천기형,Congenital malformation of ear ossicles,,,
Q16,Q164,중이의 기타 선천기형,Other congenital malformations of middle ear,,,
Q16,Q165,내이의 선천기형,Congenital malformation of inner ear,,,
Q16,Q169,상세불명의 청력 장애를 야기한 귀의 선천기형,"Congenital malformation of ear causing impairment of hearing, unspecified",,,
Q17,,귀의 기타 선천기형,Other congenital malformations of ear,,,
Q17,Q170,부이개,Accessory auricle,,,
Q17,Q171,대이증(大耳症),Macrotia,,,
Q17,Q172,소이증(小耳症),Microtia,,,
Q17,Q173,기타 기형의 귀,Other misshapen ear,,,
Q17,Q174,위치이상귀,Misplaced ear,,,
Q17,Q175,돌출된 귀,Prominent ear,,,
Q17,Q178,귀의 기타 명시된 선천기형,Other specified congenital malformations of ear,,,
Q17,Q179,귀의 상세불명의 선천기형,"Congenital malformation of ear, unspecified",,,
Q18,,얼굴 및 목의 기타 선천기형,Other congenital malformations of face and neck,,,
Q18,Q180,"아가미틈새의 동, 누공 및 낭","Sinus, fistula and cyst of branchial cleft",,,
Q18,Q181,귓바퀴앞 동 및 낭,Preauricular sinus and cyst,,,
Q18,Q182,기타 아가미틈새기형,Other branchial cleft malformations,,,
Q18,Q183,갈퀴목,Webbing of neck,,,
Q18,Q184,대구증(大口症),Macrostomia,,,
Q18,Q185,소구증(小口症),Microstomia,,,
Q18,Q186,대순증(大唇症),Macrocheilia,,,
Q18,Q187,소순증(小唇症),Microcheilia,,,
Q18,Q188,얼굴 및 목의 기타 명시된 선천기형,Other specified congenital malformations of face and neck,,,
Q18,Q189,얼굴 및 목의 상세불명의 선천기형,"Congenital malformation of face and neck, unspecified",,,
Q20,,심장 방실 및 연결의 선천기형,Congenital malformations of cardiac chambers and connections,,,
Q20,Q200,총동맥간,Common arterial trunk,,,
Q20,Q201,이중출구우심실,Double outlet right ventricle,,,
Q20,Q202,이중출구좌심실,Double outlet left ventricle,,,
Q20,Q203,심실대혈관연결불일치,Discordant ventriculoarterial connection,,,
Q20,Q204,이중입구심실,Double inlet ventricle,,,
Q20,Q205,방실연결불일치,Discordant atrioventricular connection,,,
Q20,Q206,심방부속물의 이성질현상,Isomerism of atrial appendages,,,
Q20,Q208,심장 방실 및 연결의 기타 선천기형,Other congenital malformations of cardiac chambers and connections,,,
Q20,Q209,심장 방실 및 연결의 상세불명의 선천기형,"Congenital malformation of cardiac chambers and connections, unspecified",,,
Q21,,심장중격의 선천기형,Congenital malformations of cardiac septa,,,
Q21,Q210,심실중격결손,Ventricular septal defect,,,
Q21,Q211,심방중격결손,Atrial septal defect,,,
Q21,Q212,방실중격결손,Atrioventricular septal defect,,,
Q21,Q213,팔로네징후,Tetralogy of Fallot,,,
Q21,Q214,대동맥폐동맥중격결손,Aortopulmonary septal defect,,,
Q21,Q218,심장중격의 기타 선천기형,Other congenital malformations of cardiac septa,,,
Q21,Q219,심장중격의 상세불명의 선천기형,"Congenital malformation of cardiac septum, unspecified",,,
Q22,,폐동맥판 및 삼첨판의 선천기형,Congenital malformations of pulmonary and tricuspid valves,,,
Q22,Q220,폐동맥판폐쇄,Pulmonary valve atresia,,,
Q22,Q221,선천성 폐동맥판협착,Congenital pulmonary valve stenosis,,,
Q22,Q222,선천성 폐동맥판폐쇄부전,Congenital pulmonary valve insufficiency,,,
Q22,Q223,폐동맥판의 기타 선천기형,Other congenital malformations of pulmonary  valve,,,
Q22,Q224,선천성 삼첨판협착,Congenital tricuspid stenosis,,,
Q22,Q225,에브스타인이상,Ebstein’s anomaly,,,
Q22,Q226,형성저하성 우심증후군,Hypoplastic right heart syndrome,,,
Q22,Q228,삼첨판의 기타 선천기형,Other congenital malformations of tricuspid valve,,,
Q22,Q229,삼첨판의 상세불명의 선천기형,"Congenital malformation of tricuspid valve, unspecified",,,
Q23,,대동맥판 및 승모판의 선천기형,Congenital malformations of aortic and mitral valves,,,
Q23,Q230,대동맥판의 선천협착,Congenital stenosis of aortic valve,,,
Q23,Q231,대동맥판의 선천성 기능부전,Congenital insufficiency of aortic valve,,,
Q23,Q232,선천성 승모판협착,Congenital mitral stenosis,,,
Q23,Q233,선천성 승모판폐쇄부전,Congenital mitral insufficiency,,,
Q23,Q234,형성저하성 좌심증후군,Hypoplastic left heart syndrome,,,
Q23,Q238,대동맥판 및 승모판의 기타 선천기형,Other congenital malformations of aortic and mitral valves,,,
Q23,Q239,대동맥판 및 승모판의 상세불명의 선천기형,"Congenital malformation of aortic and mitral valves, unspecified",,,
Q24,,심장의 기타 선천기형,Other congenital malformations of heart,,,
Q24,Q240,우심증,Dextrocardia,,,
Q24,Q241,좌심증,Laevocardia,,,
Q24,Q242,삼방심,Cor triatriatum,,,
Q24,Q243,폐동맥누두부협착,Pulmonary infundibular stenosis,,,
Q24,Q244,선천성 대동맥협착,Congenital subaortic stenosis,,,
Q24,Q245,관상동맥혈관의 기형,Malformation of coronary vessels,,,
Q24,Q246,선천성 심장차단,Congenital heart block,,,
Q24,Q248,심장의 기타 명시된 선천기형,Other specified congenital malformations of heart,,,
Q24,Q249,심장의 상세불명의 선천기형,"Congenital malformation of heart, unspecified",,,
Q25,,대동맥혈관의 선천기형,Congenital malformations of great arteries,,,
Q25,Q250,동맥관개존,Patent ductus arteriosus,,,
Q25,Q251,대동맥의 축착,Coarctation of aorta,,,
Q25,Q252,대동맥의 폐쇄,Atresia of aorta,,,
Q25,Q253,대동맥의 협착,Stenosis of aorta,,,
Q25,Q254,대동맥의 기타 선천기형,Other congenital malformations of aorta,,,
Q25,Q255,폐동맥의 폐쇄,Atresia of pulmonary artery,,,
Q25,Q256,폐동맥의 협착,Stenosis of pulmonary artery,,,
Q25,Q257,폐동맥의 기타 선천기형,Other congenital malformations of pulmonary artery,,,
Q25,Q258,대동맥혈관의 기타 선천기형,Other congenital malformations of great arteries,,,
Q25,Q259,대동맥혈관의 상세불명의 선천기형,"Congenital malformation of great arteries, unspecified",,,
Q26,,대정맥혈관의 선천기형,Congenital malformations of great veins,,,
Q26,Q260,대정맥의 선천성 협착,Congenital stenosis of vena cava,,,
Q26,Q261,좌상대정맥존속,Persistent left superior vena cava,,,
Q26,Q262,전폐정맥결합이상,Total anomalous pulmonary venous connection,,,
Q26,Q263,부분폐정맥결합이상,Partial anomalous pulmonary venous connection,,,
Q26,Q264,상세불명의 폐정맥결합이상,"Anomalous pulmonary venous connection, unspecified",,,
Q26,Q265,문맥결합이상,Anomalous portal venous connection,,,
Q26,Q266,문맥-간동맥루,Portal vein-hepatic artery fistula,,,
Q26,Q268,대정맥혈관의 기타 선천기형,Other congenital malformations of great veins,,,
Q26,Q269,대정맥혈관의 상세불명의 선천기형,"Congenital malformation of great vein, unspecified",,,
Q27,,말초혈관계통의 기타 선천기형,Other congenital malformations of peripheral vascular system,,,
Q27,Q270,배꼽동맥의 선천성 결여 및 형성저하,Congenital absence and hypoplasia of umbilical artery,,,
Q27,Q271,선천성 신장동맥협착,Congenital renal artery stenosis,,,
Q27,Q272,신장동맥의 기타 선천기형,Other congenital malformations of renal artery,,,
Q27,Q273,말초성 동정맥기형,Peripheral arteriovenous malformation,,,
Q27,Q274,선천성 정맥확장증,Congenital phlebectasia,,,
Q27,Q278,말초혈관계통의 기타 명시된 선천기형,Other specified congenital malformations of peripheral vascular system,,,
Q27,Q279,말초혈관계통의 상세불명의 선천기형,"Congenital malformation of peripheral vascular system, unspecified",,,
Q28,,순환계통의 기타 선천기형,Other congenital malformations of circulatory system,,,
Q28,Q280,뇌전혈관의 동정맥기형,Arteriovenous malformation of precerebral vessels,,,
Q28,Q281,뇌전혈관의 기타 기형,Other malformations of precerebral vessels,,,
Q28,Q282,대뇌혈관의 동정맥기형,Arteriovenous malformation of cerebral vessels,,,
Q28,Q283,대뇌혈관의 기타 기형,Other malformation of cerebral vessels,,,
Q28,Q288,순환계통의 기타 명시된 선천기형,Other specified congenital malformations of circulatory system,,,
Q28,Q289,순환계통의 상세불명의 선천기형,"Congenital malformations of circulatory system, unspecified",,,
Q30,,코의 선천기형,Congenital malformations of nose,,,
Q30,Q300,후비공폐쇄,Choanal atresia,,,
Q30,Q301,코의 무발생 및 발육부전,Agenesis and underdevelopment of nose,,,
Q30,Q302,"열창, 절흔 및 갈림 코","Fissured, notched and cleft nose",,,
Q30,Q303,선천성 천공비중격,Congenital perforated nasal septum,,,
Q30,Q308,코의 기타 선천기형,Other congenital malformations of nose,,,
Q30,Q309,코의 상세불명의 선천기형,"Congenital malformations of nose, unspecified",,,
Q31,,후두의 선천기형,Congenital malformations of larynx,,,
Q31,Q310,후두의 물갈퀴,Web of larynx,,,
Q31,Q311,선천성 성문하협착,Congenital subglottic stenosis,,,
Q31,Q312,후두형성저하,Laryngeal hypoplasia,,,
Q31,Q313,후두류,Laryngocele,,,
Q31,Q318,후두의 기타 선천기형,Other congenital malformations of larynx,,,
Q31,Q319,후두의 상세불명의 선천기형,"Congenital malformation of larynx, unspecified",,,
Q32,,기관 및 기관지의 선천기형,Congenital malformations of trachea and bronchus,,,
Q32,Q320,선천성 기관연화,Congenital tracheomalacia,,,
Q32,Q321,기관의 기타 선천기형,Other congenital malformations of trachea,,,
Q32,Q322,선천성 기관지연화,Congenital bronchomalacia,,,
Q32,Q323,기관지의 선천성 협착,Congenital stenosis of bronchus,,,
Q32,Q324,기관지의 기타 선천기형,Other congenital malformations of bronchus,,,
Q33,,폐의 선천기형,Congenital malformations of lung,,,
Q33,Q330,선천성 낭성 폐,Congenital cystic lung,,,
Q33,Q331,폐의 부엽,Accessory lobe of lung,,,
Q33,Q332,폐의 격리,Sequestration of lung,,,
Q33,Q333,폐의 무발생,Agenesis of lung,,,
Q33,Q334,선천성 기관지확장증,Congenital bronchiectasis,,,
Q33,Q335,폐안의 이소조직,Ectopic tissue in lung,,,
Q33,Q336,폐의 형성저하 및 형성이상,Hypoplasia and dysplasia of lung,,,
Q33,Q338,폐의 기타 선천기형,Other congenital malformations of lung,,,
Q33,Q339,폐의 상세불명의 선천기형,"Congenital malformation of lung, unspecified",,,
Q34,,호흡계통의 기타 선천기형,Other congenital malformations of respiratory system,,,
Q34,Q340,흉막의 이상,Anomaly of pleura,,,
Q34,Q341,종격의 선천낭,Congenital cyst of mediastinum,,,
Q34,Q348,호흡계통의 기타 명시된 선천기형,Other specified congenital malformations of respiratory system,,,
Q34,Q349,호흡계통의 상세불명의 선천기형,"Congenital malformation of respiratory system, unspecified",,,
Q35,,구개열,Cleft palate,,,
Q35,Q351,경구개열,Cleft hard palate,,,
Q35,Q353,연구개열,Cleft soft palate,,,
Q35,Q355,경구개열 및 연구개열,Cleft hard palate with cleft soft palate,,,
Q35,Q357,구개수열,Cleft uvula,,,
Q35,Q359,상세불명의 구개열,"Cleft palate, unspecified",,,
Q36,,구순열,Cleft lip,,,
Q36,Q360,양쪽 구순열,"Cleft lip, bilateral",,,
Q36,Q361,정중 구순열,"Cleft lip, median",,,
Q36,Q369,한쪽 구순열,"Cleft lip, unilateral",,,
Q37,,구순열을 동반한 구개열,Cleft palate with cleft lip,,,
Q37,Q370,양쪽 구순열을 동반한 경구개열,Cleft hard palate with bilateral cleft lip,,,
Q37,Q371,한쪽 구순열을 동반한 경구개열,Cleft hard palate with unilateral cleft lip,,,
Q37,Q372,양쪽 구순열을 동반한 연구개열,Cleft soft palate with bilateral cleft lip,,,
Q37,Q373,한쪽 구순열을 동반한 연구개열,Cleft soft palate with unilateral cleft lip,,,
Q37,Q374,양쪽 구순열을 동반한 경구개열 및 연구개열,Cleft hard and soft palate with bilateral cleft lip,,,
Q37,Q375,한쪽 구순열을 동반한 경구개열 및 연구개열,Cleft hard and soft palate with unilateral cleft lip,,,
Q37,Q378,양쪽 구순열을 동반한 상세불명의 구개열,Unspecified cleft palate with bilateral cleft lip,,,
Q37,Q379,한쪽 구순열을 동반한 상세불명의 구개열,Unspecified cleft palate with unilateral cleft lip,,,
Q38,,"혀, 입 및 인두의 기타 선천기형","Other congenital malformations of tongue, mouth and pharynx",,,
Q38,Q380,달리 분류되지 않은 입술의 선천기형,"Congenital malformations of lips, NEC",,,
Q38,Q381,혀유착증,Ankyloglossia,,,
Q38,Q382,대설증,Macroglossia,,,
Q38,Q383,혀의 기타 선천기형,Other congenital malformations of tongue,,,
Q38,Q384,침샘 및 관의 선천기형,Congenital malformations of salivary glands and ducts,,,
Q38,Q385,달리 분류되지 않은 구개의 선천기형,"Congenital malformations of palate, NEC",,,
Q38,Q386,입의 기타 선천기형,Other congenital malformation of mouth,,,
Q38,Q387,인두낭,Pharyngeal pouch,,,
Q38,Q388,인두의 기타 선천기형,Other congenital malformations of pharynx,,,
Q39,,식도의 선천기형,Congenital malformations of oesophagus,,,
Q39,Q390,누공을 동반하지 않은 식도폐쇄,Atresia of oesophagus without fistula,,,
Q39,Q391,기관지-식도루를 동반한 식도폐쇄,Atresia of oesophagus with tracheo- esophageal fistula,,,
Q39,Q392,폐쇄를 동반하지 않은 선천성 기관지-식도루,Congenital tracheo-oesophageal fistula without atresia,,,
Q39,Q393,식도의 선천성 협착,Congenital stenosis and stricture of oesophagus,,,
Q39,Q394,식도의 물갈퀴,Oesophageal web,,,
Q39,Q395,식도의 선천성 확장,Congenital dilatation of oesophagus,,,
Q39,Q396,식도의 게실,Diverticulum of oesophagus,,,
Q39,Q398,식도의 기타 선천기형,Other congenital malformations of oesophagus,,,
Q39,Q399,식도의 상세불명의 선천기형,"Congenital malformation of oesophagus, unspecified",,,
Q40,,상부소화관의 기타 선천기형,Other congenital malformations of upper alimentary tract,,,
Q40,Q400,선천성 비대성 유문협착,Congenital hypertrophic pyloric stenosis,,,
Q40,Q401,선천성 열공탈장,Congenital hiatus hernia,,,
Q40,Q402,위의 기타 명시된 선천기형,Other specified congenital malformations of stomach,,,
Q40,Q403,상세불명의 위의 선천기형,"Congenital malformation of stomach, unspecified",,,
Q40,Q408,상부소화관의 기타 명시된 선천기형,Other specified congenital malformations of upper alimentary tract,,,
Q40,Q409,상부소화관의 상세불명의 선천기형,"Congenital malformation of upper alimentary tract, unspecified",,,
Q41,,"소장의 선천성 결여, 폐쇄 및 협착","Congenital absence, atresia and stenosis of small intestine",,,
Q41,Q410,"십이지장의 선천성 결여, 폐쇄 및 협착","Congenital absence, atresia and stenosis of duodenum",,,
Q41,Q411,"공장의 선천성 결여, 폐쇄 및 협착","Congenital absence, atresia and stenosis of jejunum",,,
Q41,Q412,"회장의 선천성 결여, 폐쇄 및 협착","Congenital absence, atresia and stenosis of ileum",,,
Q41,Q418,"소장의 기타 명시된 부분의 선천성 결여, 폐쇄 및 협착","Congenital absence, atresia and stenosis of other specified parts of small intestine",,,
Q41,Q419,"소장의 상세불명 부분의 선천성 결여, 폐쇄 및 협착","Congenital absence, atresia and stenosis of small intestine, part unspecified",,,
Q42,,"대장의 선천 결여, 폐쇄 및 협착","Congenital absence, atresia and stenosis of large intestine",,,
Q42,Q420,"누공을 동반한 직장의 선천성 결여, 폐쇄 및 협착","Congenital absence, atresia and stenosis of rectum with fistula",,,
Q42,Q421,"누공이 없는 직장의 선천성 결여, 폐쇄 및 협착","Congenital absence, atresia and stenosis of rectum without fistula",,,
Q42,Q422,"누공을 동반한 항문의 선천성 결여, 폐쇄 및 협착","Congenital absence, atresia and stenosis of anus with fistula",,,
Q42,Q423,"누공이 없는 항문의 선천성 결여, 폐쇄 및 협착","Congenital absence, atresia and stenosis of anus without fistula",,,
Q42,Q428,"대장의 기타 부분의 선천성 결여, 폐쇄 및 협착","Congenital absence, atresia and stenosis of other parts of large intestine",,,
Q42,Q429,"대장의 상세불명 부분의 선천성 결여, 폐쇄 및 협착","Congenital absence, atresia and stenosis of large intestine, part unspecified",,,
Q43,,장의 기타 선천기형,Other congenital malformations of intestine,,,
Q43,Q430,메켈게실,Meckel’s diverticulum,,,
Q43,Q431,히르쉬스프룽병,Hirschsprung’s disease,,,
Q43,Q432,결장의 기타 선천성 기능장애,Other congenital functional disorders of colon,,,
Q43,Q433,장고정의 선천기형,Congenital malformations of intestinal fixation,,,
Q43,Q434,장중복,Duplication of intestine,,,
Q43,Q435,이소항문,Ectopic anus,,,
Q43,Q436,직장 및 항문의 선천루,Congenital fistula of rectum and anus,,,
Q43,Q437,배설강존속,Persistent cloaca,,,
Q43,Q438,장의 기타 명시된 선천기형,Other specified congenital malformations of intestine,,,
Q43,Q439,장의 상세불명의 선천기형,"Congenital malformation of intestine, unspecified",,,
Q44,,"담낭, 담관 및 간의 선천기형","Congenital malformations of gallbladder, bile ducts and liver",,,
Q44,Q440,"담낭의 무발생, 무형성 및 형성저하","Agenesis, aplasia and hypoplasia of gallbladder",,,
Q44,Q441,담낭의 기타 선천기형,Other congenital malformations of gallbladder,,,
Q44,Q442,담관의 폐쇄,Atresia of bile ducts,,,
Q44,Q443,담관의 선천성 협착,Congenital stenosis and stricture of bile ducts,,,
Q44,Q444,총담관낭,Choledochal cyst,,,
Q44,Q445,담관의 기타 선천기형,Other congenital malformations of bile ducts,,,
Q44,Q446,간의 낭성 질환,Cystic disease of liver,,,
Q44,Q447,간의 기타 선천기형,Other congenital malformations of liver,,,
Q45,,소화계통의 기타 선천기형,Other congenital malformations of digestive system,,,
Q45,Q450,"췌장의 무발생, 무형성 및 형성저하","Agenesis, aplasia and hypoplasia of pancreas",,,
Q45,Q451,고리췌장,Annular pancreas,,,
Q45,Q452,선천성 췌장낭,Congenital pancreatic cyst,,,
Q45,Q453,췌장 또는 췌관의 기타 선천기형,Other congenital malformations of pancreas and pancreatic duct,,,
Q45,Q458,소화계통의 기타 명시된 선천기형,Other specified congenital malformations of digestive system,,,
Q45,Q459,소화계통의 상세불명의 선천기형,"Congenital malformation of digestive system, unspecified",,,
